Cause,Risk
"Political drivers
Protests for utilization of local resources
Compensation
Intimidation and fear of local workers (pressure from locals)","Potential escalated localized strikes, unrest, and labor protests
"
"Lack of float in the schedule
Single vendor for valves common across skids
Problems with vendor documentation
Late placement of POs by suppliers
Vendor management of subcontractor
As of schedule, cavitrol valves (2) are forecasted to be delivered late (after MC)","Late delivery of critical items (Topsides) (e.g. Open / chemical and methanol injection skids, defoaming skid, fuel gas skid, air and nitrogen compressor)

: forecasted in schedule but not in PMR
: rebaseline to zero day float
: Chemical & Methanol Injection skids will require work arounds to avoid delays to the project (schedule)."
"contractor's inability to implement effective project management systems and resources 
contractor (in the past) changed the rules of credit for calculating progress without company approval
Longer than anticipated ramp-up period at the yard (contractor has not been operating at full capacity and had extended period of low backlog)
Outstanding Work List to contractor
Additional MC scope (carry-over work from vendors to contractor)
Re-sequencing of work due to change orders
Construction open items due to quality issues or changes.
",delays fabrication and construction tasks at contractor yard 
"Local authority delays in completing the work. TP has no control over local port authorities and contractor performing the work.

Uncertainty surrounding responsibility of validating design of quayside and execution of upgrades

Nominated contractor for executing upgrade work has no known history with TP/Juniper team","Late completion of the wharf/quay side owned by LABIDCO (government) impacts offloading of EIT building / load-out of topsides

 1: assessment is based on project perspective (i.e. not company)
 2: level 1 schedule provided by NEC as of August, 2015"
Group strategy for vessel utilization (Skandi Africa is prioritized for Kaombo),Unavailability of Skandi Africa to perform SPS phase
Late delivery from Moho Nord (Congo),Unavailability of G1200
"Delays in project execution, including: 
- Completion of engineering
- Fabrication (material availability, availability of skilled craftsmen, additional time required to qualify welders)
- Rework
Change in Management on site
Procurement",Missed ready for sail away date for platform delivery installation
"Lack of record keeping
Lack of documentation
Lack of supervision
Lack of adherence to construction schedule",Inability to demonstrate effective management of contractor based on Nominated Subcontractor clause
"contractor's document control is not automated and driven by personnel and thus exposed to human errors.
Adding another partner/layer to information exchange chain could increase risk exposure to information loss and/or lowered productivity","Impaired Document control interface between contractor, Gulf Marine and company"
"BP is unwilling to accept force-majeure for steel detainment 
contractor's inability to effectively demonstrate the claims for force-force-majeure force-majeure result in day to day slippage 
Concurrent delays with the force-majeure event weaken claims for schedule extension
Move of the jacket fabrication to subcontractor has eliminated the rights of company to claim for force-majeure ","Inability to reach an agreement with Client and contractor regarding force-majeure clause pertaining to the previous steel detainment in Colombia 

: rebaseline (recovery) schedule with fabrication of jacket at subcontractor should address force-majeure concerns. 
: contractor has not removed force-majeure claim as of Sep 2015"
